gene,log2FC,pvalue,adjustedpvalue,-log(adjustedp),category
THSD7A,-1.0987620076204543,1.6701843677753144e-08,4.711368315494105e-08,7.326852943069319,Down
THTPA,-0.5967216093542393,6.382599916103395e-06,1.2963216102774682e-05,4.88728723902,Not Significant
THUMPD1,0.5088385933907039,1.594206607968041e-07,3.960404912252825e-07,6.402260409486804,Not Significant
THUMPD3,0.534508160202653,0.0009040991555271582,0.00141749783248715,2.8484775965194227,Not Significant
THY1,-3.4782045998335693,7.301115611490777e-17,9.279726842509025e-16,15.032464807459695,Down
THYN1,1.1188164446553353,1.1751861078580708e-12,5.836122231247452e-12,11.233875620856656,Up
TIA1,0.47022503442443575,0.02368433173942365,0.030881900172323784,1.510295985248027,Not Significant
TIAL1,-0.12478491366467326,0.024419882171069246,0.03175744046959768,1.4981545073382592,Not Significant
TIAM1,-1.0444240751868332,1.0258432957656638e-14,7.298703257433216e-14,13.136754293053048,Down
TIAM2,-2.9221522280865417,7.263856378591275e-16,6.917610342612679e-15,14.160043904712401,Down
TICAM1,-0.10431321337482946,0.30603570876970815,0.34146486146252464,0.46665398087876603,Not Significant
TIFA,0.166943495389685,0.008011128939887462,0.011120100481200752,1.953891288452355,Not Significant
TIGAR,-0.19052162744010265,0.0830850629850614,0.1008879359458694,0.9961607630533118,Not Significant
TIMELESS,0.7366538329121618,5.235881323446944e-06,1.0766552488296966e-05,4.967923338020031,Not Significant
TIMM10,-1.3755824609030323,1.3696894295568487e-17,2.270238419149242e-16,15.643928531051973,Down
TIMM10B,-1.207133748480737,5.645476669182901e-18,1.0882179009171262e-16,15.96328413433382,Down
TIMM13,-1.2112258203607142,1.7402562258061595e-14,1.1870463338411738e-13,12.925532328948677,Down
TIMM17A,-0.562759116128761,0.00034207744682252124,0.0005631320803377548,3.2493897311977746,Not Significant
TIMM17B,-0.5417641722956064,2.031714912974257e-06,4.409533054451427e-06,5.355607397519008,Not Significant
TIMM21,-0.5464018983208495,0.0026445633572233546,0.003919029041192752,2.406821518256261,Not Significant
TIMM22,-1.2333054737504014,2.442934459905576e-07,5.964931924268623e-07,6.2243945084199925,Down
TIMM23,-0.791576877052406,8.101941241519615e-11,3.071125505570928e-10,9.512702435180783,Not Significant
TIMM29,-1.3263920021128965,6.238167642188719e-18,1.1849103464879995e-16,15.92631450830241,Down
TIMM44,-0.5791205305302771,9.96575387794014e-10,3.2671978619048477e-09,8.485824563800833,Not Significant
TIMM50,-0.8433865129378073,5.061992740097387e-11,1.9838208746865098e-10,9.7024975442016,Not Significant
TIMM8A,-1.387702285981387,2.0304837638314627e-17,3.135802002629332e-16,15.503651366867755,Down
TIMM8B,0.4563784275146745,1.8729975738179724e-05,3.589768319991028e-05,4.4449335794429246,Not Significant
TIMM9,-1.7041800973529835,1.3742038768303609e-18,3.446768229861982e-17,16.462587918760935,Down
TIMMDC1,-0.26664799669605466,0.0017470799229458013,0.0026433238116552924,2.577849631797902,Not Significant
TIMP1,0.36888159498810646,0.15520784881916014,0.1814622597280285,0.7412136852073189,Not Significant
TIMP2,0.16162514915028828,0.19699643518283863,0.22627851399450094,0.6453566820003371,Not Significant
TIMP3,0.6279515715835906,4.476455450246993e-05,8.200532344530262e-05,4.086157954105587,Not Significant
TIMP4,-0.12043324370717125,0.6065961771082763,0.6403711569492949,0.19356823743334287,Not Significant
TINAGL1,-1.3826501320333464,8.725275414134936e-10,2.8786495019248985e-09,8.540811210650403,Down
TINF2,0.29344488950793346,0.05842713215132736,0.07238372037171703,1.1403590988268264,Not Significant
TIPIN,0.5763456331680394,0.00022550185124369358,0.0003792613943440954,3.421061362613929,Not Significant
TIPRL,-0.6990912041987266,4.4428064124390567e-10,1.5287660147794426e-09,8.815658980425708,Not Significant
TJAP1,0.6472847351337259,1.0260030082008347e-11,4.403985695819582e-11,10.356154100289912,Not Significant
TJP1,0.402241498346542,4.1822692950584365e-05,7.704998423409428e-05,4.11322744581054,Not Significant
TJP2,0.04830068096624207,0.7700551626645543,0.7925157393885056,0.10099210392194699,Not Significant
TK1,1.1253658717925286,7.799153324960616e-08,2.0285204137809858e-07,6.692820617465286,Up
TK2,-1.1370716581623346,7.210673759923755e-12,3.1615797458738994e-11,10.500095859317724,Down
TKFC,-0.19690937915904883,0.0239657312639616,0.031213625716538573,1.505655781567633,Not Significant
TKT,-0.5236499762409896,5.980272817096816e-06,1.2207268569199862e-05,4.913381500512787,Not Significant
TKTL2,-0.41013292220962794,0.0006908881192698053,0.0010984350746111812,2.959225607902686,Not Significant
TLDC1,-0.6847398896041035,3.3346485004417686e-12,1.5461183180890143e-11,10.810757274371781,Not Significant
TLE1,0.34603698051659365,0.03108823246054105,0.03992072682972758,1.3988015601886148,Not Significant
TLE2,0.2827375954785331,0.10184583513760483,0.12227373678746581,0.9126668151888873,Not Significant
TLE3,0.12017510213380089,0.32581258892816367,0.36201785206588977,0.44127001271948213,Not Significant
TLE4,-0.35138082979867,0.015671187602853125,0.020950602589018517,1.6788034811787365,Not Significant
TLK1,0.5545939479710926,0.0002434335796744506,0.000407183051716432,3.3902103070446135,Not Significant
TLK2,0.2330971159288166,0.0012805628693437917,0.0019720933432459723,2.7050725328546203,Not Significant
TLN1,1.1142545475520247,2.440740617188059e-15,2.004955902556021e-14,13.697895174907735,Up
TLN2,-1.3007443656520707,1.1682164624732968e-21,1.9489068427402109e-19,18.7102089195539,Down
TLNRD1,-1.202676676615011,4.992844664400296e-12,2.241074605939745e-11,10.649543685451274,Down
TLR1,0.1742517002237037,0.33065484467212436,0.36688906067499655,0.4354652371655875,Not Significant
TLR2,0.3054622227279213,0.035857113708211284,0.0456782152232005,1.3402908735419432,Not Significant
TLR3,0.7544700682037968,3.783695819748633e-08,1.0216469465048903e-07,6.990699158677722,Not Significant
TLR7,0.203412018255993,0.140305568052061,0.16500289886497607,0.7825084257860709,Not Significant
TM2D1,-0.30887487655899787,0.0006263075020615345,0.0010015724057395163,2.9993176491897002,Not Significant
TM2D3,-0.8249497058984478,1.85757480342916e-06,4.053563129747196e-06,5.39216305893945,Not Significant
TM6SF1,-0.10820599081728063,0.4127419291029936,0.45085850981562187,0.3459597287368959,Not Significant
TM7SF2,-0.8252748714103696,9.44442114095026e-05,0.00016636821739067734,3.77892963676052,Not Significant
TM9SF1,1.2405252148790806,4.041578901800014e-15,3.158317927089816e-14,13.50054415455856,Up
TM9SF2,0.427059159636508,0.0018882628061485831,0.0028456533298393807,2.545818008717013,Not Significant
TM9SF3,0.3597439230145863,0.00014777847328691554,0.0002541682300798916,3.5948787353055014,Not Significant
TM9SF4,0.8286199437491322,4.85588598132978e-09,1.462103476414859e-08,7.835021890274385,Not Significant
TMA16,0.6810839279176059,9.957710513664735e-06,1.971278218652268e-05,4.705252076736091,Not Significant
TMA7,0.28280616058710295,0.005186323643060929,0.007396142320950982,2.1309947404808227,Not Significant
TMBIM1,0.8887379479904987,0.0018414519121635606,0.0027787290451885332,2.5561537993602688,Not Significant
TMBIM6,1.3933396989283762,3.1354153060216855e-09,9.655780449816486e-09,8.015212617653583,Up
TMC6,-0.5594742025260613,0.002252437036341146,0.00336234290997777,2.473357996929611,Not Significant
TMC7,-0.604460943514376,0.0011503216221867114,0.0017810051711053814,2.7493348195714153,Not Significant
