Gene Symbol,GSM97800,GSM97803,GSM97804,GSM97805,GSM97807,GSM97809,GSM97811,GSM97812,GSM97816,GSM97817,GSM97820,GSM97825,GSM97827,GSM97828,GSM97833,GSM97834,GSM97840,GSM97846,GSM97848,GSM97849,GSM97850,GSM97853,GSM97855
AAR2,9.227375273626212,9.620403129623213,9.3968188150137,9.456149034647996,9.942367882539084,9.885238786495927,9.610286657081023,9.683345561676575,10.074542899023024,9.690521857538217,9.682292371430833,9.555164280140051,9.624064329509412,10.308225248441262,9.98185265328974,9.714073758032502,9.84924870276441,9.51096191927738,9.938256382438814,9.672778900370739,9.857825523923058,9.665335917185176,10.10105646413834
AARS,11.806307944283597,11.690085298984672,12.046612469258132,11.665646809340434,12.28016178719995,12.494230581214564,12.437570033707258,12.324714987509964,11.902864974768677,12.253640695694488,12.340768092959273,12.126026840652813,12.333323095795473,12.063765819757563,11.911878796551997,12.375989689229902,11.942404539636158,12.439207554941284,12.058904960064549,11.989891161284522,11.694140204076431,11.99950680705274,12.277345525270507
AARS2,8.934280593640024,9.121533517340032,9.347178416448939,9.384567923173826,8.407267764244732,8.869439618531578,8.669239411252647,9.122310343190742,9.012903833230638,8.75455350631966,9.006746832440585,8.847057346091336,8.899356922923111,8.94192792470872,8.947198584262056,8.687550651000702,9.125413470483315,8.901168595460332,9.1025006691504,9.054197294388812,9.102238193930738,8.80992886572143,9.011506820396688
AARSD1,9.097242070141174,8.60733031374961,9.355791546753647,8.945736442613757,9.562242424221072,9.431915413424274,9.075479149488016,9.374822141634805,8.678776174123884,9.013741392058742,9.101975670949232,9.284477117810422,9.340295210430478,8.974701379398141,9.210427830401485,9.406630202899352,8.350497247084133,9.368288185534677,9.233140296445974,9.298062567719017,8.697662633470518,8.938697461180865,9.173177415120422
AASDH,9.233859307196411,9.533135023480261,9.69522829149575,9.218442148856205,9.26795708440284,9.514714054138487,9.412993172817897,9.132885253625162,9.906289347406073,9.488442705296366,9.474314353315801,9.338067797542616,9.288635409037678,9.631722738761946,9.559759463982642,9.491452292037366,9.357771910881887,9.451623251541141,9.372865060112588,9.364572432295857,9.551131452774108,9.402585758232588,9.107217075591382
AASDHPPT,12.96412423065095,12.703579190072665,12.706949217305889,12.793196859060945,12.766135467961195,12.714245517666123,12.872713351625414,12.817323464263696,12.442217820176026,12.621159013014182,12.832712039161015,12.824779784344848,12.758264862365788,12.454350707352408,12.594464574014463,12.715897659374946,12.528625036070467,12.941176019563452,13.041847346732082,12.932177835041584,12.588105577313145,13.062417222953616,12.73316365226966
AASS,8.581200581924957,8.539158811108031,8.734032139564931,8.266786540694902,8.176422513042237,8.4761386254757,8.025139562278508,7.626439136697315,9.389093521904474,8.45409362036545,8.448735798029396,7.338959175415203,7.338067797542616,9.895878178674236,8.260213886771416,7.351380980674333,8.731997786643742,7.74617838097141,7.6653359171851765,7.804776377955828,8.71699089440494,7.729280846027402,8.971830914780503
AATF,9.55822936171445,9.690172621264207,9.286557761607957,8.81698362325538,9.741129868736127,9.759721772812643,9.740961280358384,9.462706750670158,10.5648163678849,9.170425850272508,9.812658658477003,9.7632123668144,9.584210901308017,10.053654417603145,9.614525815153815,9.305377785627485,9.693138438342928,9.165158245383909,9.349612971824522,9.504818987632841,9.639702467691462,9.519439686994978,9.650692767171384
AATK,11.640018932455785,11.63662462054365,11.381597024198248,11.954487147005317,11.691743519171276,12.03028779274956,10.9261477142896,11.139807126717502,13.206251272060687,11.14834946688317,11.520520467884545,10.670921751381108,11.323054760341646,13.1682333517966,11.491001254070408,10.917297481113843,11.906815453284958,11.284824100224624,11.11660388287422,10.720415284906329,11.83810087041245,10.790022611265801,12.334999478787823
AB074162,4.722466024471091,4.649615459063409,5.776103988073165,4.9818526532897405,4.121015400961366,5.532940288372874,4.791814071161826,4.797012977836145,8.524345816462544,5.655351828612554,5.422905742612183,4.517275693209582,4.916476644437717,8.564530600816344,4.722466024471091,4.797012977836145,7.352264173258321,4.877744249949002,4.791814071161826,3.817623257511431,6.457791260256042,4.596935142387232,5.169925001442312
AB488780,9.281930026955443,9.331588784534068,9.502235114856795,9.432541900388259,9.415530523683096,9.24031432933371,9.392532093568665,9.12023787734196,9.52610794674445,9.29920801838728,9.738598972161281,9.049576317155973,9.03342300153745,9.336060181390577,9.298291730620123,9.186361891252986,9.264677165716249,9.001689668404214,9.78888143201129,9.494055531765364,9.39167321868639,9.45471055218622,9.332036548361652
ABAT,13.124185947255864,12.675868845953067,12.364408281379832,12.631108830807054,12.437544026315472,12.356837077676754,12.753634618853386,12.855004700595321,11.815703503348066,12.527085978807456,12.578584975535309,12.559568289922748,12.69692407090993,11.306916113522542,12.612338674825017,12.547810319046576,12.099084760891863,12.722722162073342,13.075529288620482,12.932934443291066,12.645455792470054,12.813280168450797,12.387694257756916
