gene_name,log2FC,pvalue,adjustedpvalue,-log(adjustedp),category
EPB41L2,0.083821975077079,0.7234390626383189,0.7701495421133282,0.11342493845230411,Not Significant
EPB41L3,-1.2365995641874505,0.002482065530255796,0.006701029235741875,2.1738584872881304,Down
EPB41L4A,0.8574892295316996,0.00339182099855002,0.008568005200449574,2.067120278576076,Not Significant
EPB41L4B,-2.7524549390881905,9.279824962148471e-05,0.0005435171899342076,3.2647867158361725,Down
EPB41L5,-0.3109177722766283,0.07224964763852444,0.10821334378687114,0.9657191830770258,Not Significant
EPB42,1.1660901118391802,0.011819033367020027,0.02344362916057244,1.6299751570562802,Up
EPC1,1.1337491295406998,1.8660470368750276e-06,3.608168493182155e-05,4.442713190101644,Up
EPC2,0.2076535114828424,0.10273651546202214,0.14624384015323033,0.8349224175110852,Not Significant
EPDR1,-1.6050158634193892,5.8240428504533924e-05,0.00039245088746132093,3.4062146844960357,Down
EPG5,0.05892902708098191,0.6377874981966987,0.692954190771521,0.15929547441088449,Not Significant
EPHA2,0.056713458096544045,0.8872724665698067,0.9110035620102869,0.040479924938760514,Not Significant
EPHA3,-0.797573181529712,0.18909369463200412,0.24722933619899162,0.606899997202088,Not Significant
EPHA4,-1.4877553533785495,0.004524135596161001,0.010774501653835917,1.9676028078488306,Down
EPHA5,-2.3527807625389325,0.005568803769928147,0.01270812273990503,1.895918599242589,Down
EPHA7,-1.72974484542266,0.010787821614835297,0.0217657750746747,1.6622258630960203,Down
EPHB1,1.368521400632897,0.004170129995991872,0.01008883035053365,1.996159180814999,Up
EPHB2,0.3997956348284166,0.4454496965618671,0.5114497655760485,0.2911970161150565,Not Significant
EPHB3,0.5551282820972059,0.03977790042588833,0.06505236507961024,1.1867369093660058,Not Significant
EPHB4,1.892928146785973,7.742963946150646e-05,0.00047649736587368117,3.321939495843466,Up
EPHB6,-5.192544136810156,0.00016840818070172644,0.0008411224652400556,3.075140767453071,Down
EPHX1,-0.43880096817084535,0.06410669247010918,0.0976810705208161,1.010189589452859,Not Significant
EPHX2,-1.29234709607797,0.1496506119411513,0.2020969873995642,0.6944401603367348,Not Significant
EPHX4,-3.9096188458326164,6.4717705774064216e-06,8.511307675821447e-05,4.070003709860906,Down
EPM2A,0.007363489509518928,0.9771896260551125,0.9831411861406205,0.00738410988012602,Not Significant
EPM2AIP1,-0.43427058541053043,0.13877302912614597,0.18977190182926973,0.721768090032287,Not Significant
EPN1,-0.8908039640663734,0.004026024654765521,0.009837053691998025,2.007134958165224,Not Significant
EPN2,0.29015312256046144,0.15598574053083986,0.20910184299503404,0.6796421393533175,Not Significant
EPN3,-4.869373815045769,8.904309337050857e-06,0.00010528405195005909,3.9776374092004025,Down
EPPK1,0.2439659312587903,0.6749263684606067,0.7262559534150985,0.1389102944987166,Not Significant
EPRS,-0.01250528429685005,0.9415335446533281,0.955187203306911,0.019911504441697637,Not Significant
EPS15,-1.4123870508176424,8.144093139230729e-06,9.944678095104286e-05,4.002409270235125,Down
EPS15L1,0.0421855843572736,0.8394627498724898,0.8712907214316363,0.05983691083967286,Not Significant
EPS8,1.0141203404666541,0.030726569484311295,0.05204093157110826,1.2836549378489084,Not Significant
EPS8L2,-0.7048168270982273,0.1551842044195662,0.208249057589278,0.6814169552738871,Not Significant
EPSTI1,1.4351458667409833,0.007087056963297137,0.01541343088261126,1.812100680714258,Up
ERAL1,0.06954650327775624,0.545449984945312,0.6076371943314247,0.216355650216587,Not Significant
ERAP1,1.1471050718274078,1.8144390092798594e-06,3.555861868770252e-05,4.449055118004417,Up
ERAP2,2.381463378846158,0.0003422728635137636,0.0014289501976948423,2.844982907138505,Up
ERBB2,0.2577065925802735,0.38895675510572497,0.45743058030995487,0.33967480515137344,Not Significant
ERBB3,0.5733482848123224,0.37808377470074306,0.44600766196580544,0.35065768047869295,Not Significant
ERBB4,-1.4223937476595019,0.07326826755563322,0.10949481195007402,0.9606064579456225,Not Significant
ERC1,-0.15689840943559474,0.27308933686187603,0.3393489551679461,0.4693534836332455,Not Significant
ERC2,-2.331655632158064,0.0003124884435452334,0.001336734004362922,2.873955004054613,Down
ERCC1,0.6467744019632278,0.001802914764466481,0.0052041728759986625,2.2836482851609428,Not Significant
ERCC2,0.22882271074595906,0.16280941408947777,0.2170935853788748,0.6633530087690498,Not Significant
ERCC3,0.3230917604738046,0.018883611119531536,0.03464459996688412,1.4603644489987155,Not Significant
ERCC4,0.556605980713309,2.7590369449942758e-05,0.00023282416441438927,3.632971947015245,Not Significant
ERCC6,0.2779724771245071,0.11355936513844524,0.15962007037877735,0.7969125020408468,Not Significant
ERCC8,0.5992843553966658,0.001289244093668583,0.00397790045930086,2.4003460886115926,Not Significant
