gene,log2FC,pvalue,adjustedpvalue,-log(adjustedp),category
KBTBD11,-1.5858189345016878,2.357131102127391e-16,2.2613251282989872e-15,14.645636991270358,Down
KBTBD2,-0.1712521236815373,0.196175440653043,0.2288200539844828,0.6405059162726185,Not Significant
KBTBD3,-1.189515424729848,4.398354923344395e-14,2.861404774818238e-13,12.543420702475883,Down
KBTBD4,-0.14421363578341898,0.21409045948876584,0.24807609849922782,0.605415076880293,Not Significant
KBTBD6,-0.4926252654905753,4.095106294540383e-05,8.100714827037409e-05,4.09147665621515,Not Significant
KBTBD7,-0.41424095581027165,0.0005003290499636867,0.0008519425946461664,3.0695896677548067,Not Significant
KCMF1,-0.156931353938359,0.009934359932498705,0.014086194324666807,1.8512063246368322,Not Significant
KCNA1,-2.478604865292448,3.2069472027362007e-18,4.4686898839733756e-17,16.349819783256915,Down
KCNA2,-2.4372808828152555,8.86429835788068e-19,1.3916814722048265e-17,16.85646015459155,Down
KCNA3,-1.6091946261289267,7.590688254265251e-14,4.797296541508622e-13,12.319003435096674,Down
KCNA4,-2.2814962825013523,3.033675770175348e-16,2.8473878351447433e-15,14.54555337472459,Down
KCNA6,-1.79289706626516,2.677139214843593e-11,1.2216721651603226e-10,9.913045321068507,Down
KCNAB1,-2.0163730179326094,3.0780295757658555e-10,1.21683288469984e-09,8.914769062062637,Down
KCNAB2,-2.374610785103376,7.110428585343983e-20,1.5882500245675004e-18,17.79908112927491,Down
KCNB1,-2.0387069460841216,1.1673555552894624e-15,9.99260195313159e-15,14.000321411998897,Down
KCNC1,-1.8089349059799478,5.8747599708349525e-15,4.46353113404533e-14,13.350321431586451,Down
KCNC2,-1.5941866700221585,1.5671808610411503e-14,1.0985040796348373e-13,12.959198325853523,Down
KCND2,-0.8433354738503035,4.058271557290302e-06,9.23536262348814e-06,5.034546047458384,Not Significant
KCND3,-1.8259698572604848,9.274986769924927e-20,1.9824093899003813e-18,17.702806653879502,Down
KCNH1,-1.9166590575463587,5.188525976797672e-13,2.9208959920220105e-12,11.534483907215124,Down
KCNIP1,0.1536423282139545,0.3349317660864045,0.3747505915504014,0.42625767293766204,Not Significant
KCNIP2,-1.6717844533735824,1.0812068598011608e-11,5.1839162614787114e-11,10.285342022467603,Down
KCNIP3,-0.7700410136849696,7.232254025269649e-07,1.8231634426753738e-06,5.739174396034972,Not Significant
KCNIP4,-2.4654389199319184,4.41009168026917e-23,4.413908105761711e-21,20.35517671276386,Down
KCNJ10,-0.3970005110145386,0.0340256535733248,0.044730112155182855,1.3494000128866777,Not Significant
KCNJ3,-2.501999559106439,8.416393422779039e-16,7.36186883510143e-15,14.133011924555628,Down
KCNJ4,-1.94515190172846,1.4894619439371576e-18,2.2339782960290883e-17,16.65092105054028,Down
KCNJ6,-1.5720417856088962,5.406373301770404e-17,5.837649346278852e-16,15.233761995601828,Down
KCNJ9,-2.972374939769816,5.747091671686959e-14,3.6881305308624885e-13,12.433193716731717,Down
KCNMA1,-1.8840088930021806,1.0073917976559658e-17,1.2664180219566362e-16,15.897422917807237,Down
KCNMB4,-0.8722298223978552,2.814151430981305e-05,5.697821872220269e-05,4.244291131986859,Not Significant
KCNN2,-0.1935613318388639,0.08789193881800739,0.10861536164746989,0.9641087474273945,Not Significant
KCNN3,0.8092494657424362,3.747594297948017e-07,9.835781403767248e-07,6.007191131843913,Not Significant
KCNQ2,-1.841065150471275,2.3931774758337405e-20,6.196662772625225e-19,18.207842137862436,Down
KCNQ3,-1.0478516126469224,1.0114420390741507e-05,2.1774767703666668e-05,4.662046469411177,Down
KCNQ5,-1.5311703885663366,2.2591276058644234e-09,7.912267580566211e-09,8.101699033999559,Down
KCTD1,-0.15836621077573412,0.16733375673602416,0.1973237876815765,0.7048205567340198,Not Significant
KCTD10,-0.2520580234267453,0.003631700839523762,0.005483270444073097,2.2609603334577395,Not Significant
KCTD12,0.5267617493074914,0.0004926188400186164,0.0008399131049555738,3.0757656424980793,Not Significant
KCTD13,-0.5720426722315172,0.0004922293858361477,0.0008396023503603027,3.07592635433561,Not Significant
KCTD14,0.4399135949751696,0.0077248952029899225,0.01116008801775463,1.9523323801767192,Not Significant
KCTD15,0.7152639153554479,8.815135591554047e-05,0.00016652767036748833,3.7785135934521192,Not Significant
KCTD16,-2.7833824884595826,2.1832586142992155e-19,4.043690198619312e-18,17.393222124639884,Down
KCTD17,-0.24090337242511872,0.1062742500468575,0.1295478005314135,0.8875699560874891,Not Significant
KCTD18,0.329090351259524,0.001861287014441481,0.002920430589888661,2.5345531112138993,Not Significant
KCTD2,-0.6753705839513496,1.1071239420859187e-05,2.3692296940800856e-05,4.62539283288813,Not Significant
KCTD20,0.24139259709848046,0.19594348405456002,0.2286007313969867,0.6409223844343186,Not Significant
KCTD21,-0.06447351616147456,0.4040049180648683,0.4450039356758957,0.35163614804206694,Not Significant
KCTD3,0.5603366425552453,2.8024826418824668e-06,6.5026843110464995e-06,5.18690732938414,Not Significant
KCTD4,-0.7423358372596423,0.0002498722594274819,0.0004431624379588786,3.35343705712102,Not Significant
