ID_REF,log2_fc,p_value,minus_log_p,Significant
200051_at,-0.02877538461832252,0.840920568445306,0.07524502479077129,No
200052_s_at,0.2956179472258782,0.08205022959411944,1.0859201993601915,No
200053_at,0.05884057218946381,0.6460475333651666,0.1897355273319269,No
200054_at,0.11588322013513519,0.46217002856641,0.33519822166579594,No
200055_at,0.16937327515601908,0.24733795781466844,0.6067092293545843,No
200056_s_at,0.31208216308255743,0.08379971834384077,1.076757441058522,No
200057_s_at,-0.002895483482413752,0.9835895320865451,0.007186101915062831,No
200058_s_at,-0.09401857464159136,0.537991714048543,0.26922441312674594,No
200059_s_at,0.1973237546312916,0.17376034186371073,0.7600493376404122,No
200060_s_at,-0.005440075447314285,0.9672137549600542,0.01447753590579003,No
200061_s_at,-0.053183702039296676,0.7145853208197139,0.1459459094216784,No
200062_s_at,-0.010623549212168015,0.941201207466863,0.02631752433934474,No
200063_s_at,0.017522931150276477,0.899353473475668,0.04606958367427834,No
200064_at,0.07009047068121887,0.5902960973212588,0.22893008806026352,No
200065_s_at,0.33619203424384736,0.02478283965054548,1.605848933072694,No
200066_at,-0.054181984596455735,0.7044780827128021,0.15213251384625648,No
200067_x_at,0.042398354966673324,0.7467648080633869,0.12681615674331395,No
200068_s_at,0.0036157922256450092,0.9783391480335624,0.009510567925072856,No
200069_at,-0.21497036469718367,0.1456129590237647,0.8367999726736188,No
200070_at,0.17090801709343495,0.24671571659081434,0.6078031836628661,No
200071_at,0.03403035490047657,0.8201891804977894,0.08608596399403425,No
200072_s_at,0.0222568906853553,0.8662898319638573,0.06233678308212647,No
200073_s_at,0.05575671086307388,0.7014775091877232,0.15398624878708086,No
200074_s_at,0.16107919184594088,0.3268830784847967,0.4856075606398452,No
200075_s_at,0.27755090423147166,0.07620040194132834,1.1180427378409696,No
200076_s_at,0.20838169731131728,0.13242612020121605,0.8780263446513861,No
200077_s_at,0.09508758183694965,0.4741640874302743,0.3240713420100495,No
200078_s_at,0.3955291017505207,0.012795979106689764,1.8929264777045882,No
200079_s_at,0.02997701733121616,0.8219706238948923,0.08514370327299092,No
200080_s_at,0.09198947050099981,0.6055141338391603,0.217875715152282,No
200081_s_at,0.032187690853975326,0.8194752082404829,0.08646418069899808,No
200082_s_at,0.049988393776216,0.7370338014863848,0.13251259428152795,No
