Gene,Degree,Betweenness,Closeness,PageRank
PET100,44,0.0026340955485366184,0.4601366742596811,0.0041403041655424175
COX7A2L,44,7.779664341516034e-05,0.4622425629290618,0.0036152192101305243
JUN,42,0.024142141268707472,0.5166240409207161,0.008553735574644677
TACO1,40,0.0011704877854791464,0.45495495495495497,0.003665636863970893
PTEN,39,0.02895128008976503,0.4938875305623472,0.008672369753630962
TMEM70,38,0.000985588613392442,0.45495495495495497,0.003427422898311761
CASP8,38,0.011711146706169252,0.4950980392156863,0.00788218040533476
NFKBIA,37,0.008305287408145975,0.4821002386634845,0.007647022843916831
NUBPL,37,0.0014493171069089403,0.452914798206278,0.0034032950853611615
STAT3,36,0.011742380114240092,0.506265664160401,0.007270566084755387
CASP1,35,0.0024020411629210835,0.41649484536082476,0.007456698186516396
COX18,35,0.0008725208047119204,0.4488888888888889,0.003348970689998166
HIGD1A,34,0.0006718105401858585,0.4622425629290618,0.003103689409952303
LYRM7,34,0.008853584981483566,0.4752941176470588,0.003558188029663142
UQCC2,33,0.0007839017623731631,0.4488888888888889,0.0030871236856497277
COA5,32,0.0014847186103462365,0.4334763948497854,0.0032535994693567837
IKBKB,32,0.018749487169683908,0.4891041162227603,0.00706218098689852
TNFRSF1A,31,0.0028761726549783083,0.40973630831643004,0.006755743407400195
FADD,30,0.0019197818775262493,0.40973630831643004,0.006473142511358485
PET117,28,0.0015245562138401399,0.4288747346072187,0.0031488267806092777
RIPK3,28,0.006025836984302606,0.4139344262295082,0.006255431402320423
TTC19,28,0.0008560325781351519,0.45701357466063347,0.002851545596679671
MAP3K5,28,0.005192377720637245,0.4420131291028446,0.006176561972237041
COX20,27,0.0003583425738860661,0.4353448275862069,0.0027878119869864226
KRAS,27,0.010058544383772138,0.4675925925925926,0.006112196122227456
MCL1,26,0.0032287166174221104,0.4786729857819905,0.005503876696524144
MAP2K1,25,0.020773969664802182,0.43722943722943725,0.006217328810632719
IL18,25,0.006766969849979464,0.47980997624703087,0.005341816407380413
TLR3,24,0.0012228479431801418,0.40239043824701193,0.005331298025103765
SDHAF1,23,0.0016471000044363585,0.45089285714285715,0.0026531436798399775
COX19,23,0.0003325490480826064,0.42526315789473684,0.0025503530800193358
BAX,23,0.002339995489762605,0.43817787418655096,0.004762357558881014
TRADD,23,0.0017354045105163925,0.39147286821705424,0.005286732107066391
TNFRSF10B,23,0.0009466478208651193,0.398422090729783,0.005146816984359223
TIMM21,22,0.0004142529440263392,0.43628509719222464,0.002387587910031297
UQCC1,22,0.0004616451335354581,0.4297872340425532,0.002409575951171847
