Gene Symbol,log2FC,pval,p_adj,neg_log10_p
AC104537.2,-0.10108632760651348,0.6605370769268393,0.791391073774054,0.10160885251898642
AC106801.1,-0.07536255289157445,0.44045696023478226,0.6148709579944218,0.21121601936489648
AC108056.1,-0.29398520810883966,0.1938153906948033,0.35887368828425487,0.4450583818780946
AC112198.1,0.725597327539155,0.0018189412313802027,0.013588751268375889,1.8668204507120205
AC114730.11,-0.1992512223820988,0.4225633667511411,0.5975275025326643,0.2236421005500488
AC128677.4,-0.31821826461765834,0.013333776299839346,0.05521817243971474,1.2579179713382198
AC136289.1,0.006273902106682883,0.9856229875788803,0.9937065704504129,0.0027418385879433736
AC139100.2,0.7119875028509206,0.00011129182543783259,0.001839297070684521,2.735348120821978
AC141928.1,0.050955489924859876,0.8327102163995468,0.9062209531843967,0.042765900502496366
AC144652.1,-0.11632976285733143,0.3422858601436505,0.5212636596894362,0.2829425512028042
AC145343.2,0.7436074300813695,0.0034242524294890928,0.020912840233328383,1.6795869803867471
ACAA1,-0.06696416058981747,0.3440017455181652,0.5227922879635761,0.28167082759410766
ACAA2,0.441478723840369,0.07209611848191132,0.1813982227630077,0.7413669722263084
ACACA,-0.7116544493309434,0.000818074830493172,0.007662519364191431,2.115628414953025
ACACB,0.04521652111319874,0.7043198730283287,0.8230452190864206,0.08457630347518978
ACAD10,0.09514113178225259,0.4839310171444377,0.6541103012510366,0.18434901133087808
ACAD11,0.23741378908476385,0.09787489433594167,0.2246637736293475,0.6484669506393868
ACAD8,-0.11893796251366595,0.23549752563546986,0.4090513437855228,0.3882221762879136
ACAD9,0.04733938412183569,0.5720837147494042,0.7255630342636267,0.13932485167050349
ACADL,0.0405462156116938,0.7487908727743927,0.8530021767546054,0.06904986056599703
ACADM,0.2689792171924825,0.0022746029739186407,0.015846301477332413,1.8000720858386636
ACADS,-0.04962876015125417,0.6331873271289807,0.7708526063950187,0.11302865482681705
ACADSB,-0.5077043253866158,4.095321458987636e-05,0.0009570734781761445,3.019054718501696
