gene_name,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR
FAM133EP,ENSG00000270528,13.963559326887003,4.438904105201506,0.6513154836227879,6.815290311403555,9.407359686803903e-12,4.748767331842608e-11
AC004839.2,ENSG00000272854,24.76058276466658,1.730858440378684,0.25401023807939627,6.814128648773864,9.483680978340665e-12,4.7867675775597016e-11
TRIOBP,ENSG00000100106,1666.4333566691766,1.1666159145778694,0.17120631944844372,6.814093769063113,9.485981932776985e-12,4.7874027512369704e-11
AC004801.1,ENSG00000226138,13.445626092408547,4.6396406551029505,0.6808925124167957,6.814057388639458,9.488382469406426e-12,4.78808803711662e-11
NPAS1,ENSG00000130751,169.32840105765234,-2.413260473401108,0.3542111041844319,-6.813057086275202,9.554620373045704e-12,4.8209836518034476e-11
QPCTL,ENSG00000011478,313.08315734230047,-1.19661783340856,0.17564706740206715,-6.8126263142750165,9.583284538929889e-12,4.834915505517462e-11
AGO1,ENSG00000092847,5136.479958085257,0.8002094092496186,0.11747160651645888,6.811938927024904,9.629198808044299e-12,4.8575462865451196e-11
CELF3,ENSG00000159409,1891.5466834028905,-2.804350403525008,0.4116938516374935,-6.8117373926543525,9.642701174235499e-12,4.863823381173862e-11
ZNF529-AS1,ENSG00000233527,241.5805943077017,1.4009868080044496,0.2056773096021299,6.811576885727319,9.653468058404592e-12,4.868719458649064e-11
AC068491.2,ENSG00000270190,45.69575429957649,7.889643635388147,1.1583005160398692,6.81139611537269,9.665608326138774e-12,4.874307049688322e-11
TPI1P1,ENSG00000226415,43.09598097563426,-1.9692902237272354,0.2891208910401525,-6.8113037997442545,9.671813874740482e-12,4.876900899768944e-11
SCAND3P1,ENSG00000232795,26.06961438474205,6.668679770744891,0.9790723250199869,6.811222828312256,9.677260068278482e-12,4.879111326256216e-11
RPS26P41,ENSG00000237139,27.324270539563543,6.350053098983629,0.9323050083226598,6.81113266827582,9.683327828916582e-12,4.881634616661306e-11
AL162311.2,ENSG00000257307,18.702893799745073,2.925531113199192,0.42953165077764954,6.8109791394944645,9.693668877931901e-12,4.886311400038538e-11
AC025423.1,ENSG00000256325,35.20134502567632,7.513909813781658,1.1032197593188557,6.810891257441634,9.699593109389145e-12,4.8887610051175385e-11
Y_RNA,ENSG00000252759,33.530520866256175,7.44012234042817,1.0924173875537315,6.810695641790323,9.712792525853014e-12,4.8948764879246734e-11
FMNL1,ENSG00000184922,804.2420316486382,-1.9919459267736588,0.292489370635533,-6.810319029527386,9.738254492784617e-12,4.90716980756241e-11
DKK3,ENSG00000050165,14683.701631067735,-1.8825521484515462,0.2764332213312914,-6.810151614141201,9.749594081559886e-12,4.912344852088122e-11
AC005839.1,ENSG00000279089,243.7893175534427,1.4757521247763992,0.2167042995460788,6.809980825796229,9.761175461379228e-12,4.9176405744596326e-11
AC135050.4,ENSG00000261124,13.230577390446392,3.08431951822025,0.4530049583977922,6.808577833516451,9.85682570930166e-12,4.965284043405458e-11
PTPN5,ENSG00000110786,2140.2736941589023,-3.3324214410704096,0.48946382650283093,-6.808309951892094,9.875192894928467e-12,4.973990708873644e-11
MIR29B2CHG,ENSG00000203709,2225.338448681126,1.8241985930425009,0.2679407127457425,6.8082172893730455,9.881554061616643e-12,4.976648871062709e-11
AC018695.3,ENSG00000270159,15.519783161917076,5.162987093570619,0.7583778464466052,6.807935012555944,9.900956765011043e-12,4.9858738414965686e-11
RPL18AP2,ENSG00000225043,15.786023261503557,3.396925328049108,0.49896804892431385,6.807901498647605,9.90326286902335e-12,4.98648831368883e-11
TIMM10,ENSG00000134809,549.622846558867,-0.9813139663377392,0.14414453774411612,-6.80784705196223,9.90701048683764e-12,4.987828402215451e-11
AL161787.1,ENSG00000219928,23.385965087793643,2.9449290771574446,0.43259239900987767,6.8076301939142505,9.921950827429248e-12,4.994802718114213e-11
C5orf22,ENSG00000082213,1063.2562446655509,-0.7857351783079777,0.11542090619152978,-6.8075637614915845,9.926532075280878e-12,4.996561212638092e-11
EYS,ENSG00000188107,232.54211928366223,3.496106412241522,0.5135764432947255,6.807372997509575,9.939698877150435e-12,5.002640422376426e-11
DLG3-AS1,ENSG00000231651,15.38953173601582,3.7722120521240017,0.5541389970781151,6.807339082819045,9.942041508081242e-12,5.003271102384643e-11
AP001831.1,ENSG00000254733,23.88347110436952,6.538383626022864,0.9605493530766692,6.806921065617524,9.970960180020813e-12,5.0167246896760796e-11
CCDC168,ENSG00000175820,59.057877573335105,2.409142706960592,0.3539253819611152,6.806922672828471,9.970848834580616e-12,5.0167246896760796e-11
AL356481.2,ENSG00000280474,14.648750017407183,3.475433024050135,0.5105852998501682,6.806762797655954,9.98193074248907e-12,5.0216941457695066e-11
AP002812.4,ENSG00000255115,17.79262304192107,5.704380346284858,0.838081421138593,6.806475125692506,1.0001901410768829e-11,5.030968364056682e-11
CCDC88A,ENSG00000115355,13222.268453486564,1.11153622893121,0.16330593274958874,6.80646569427227,1.000255681797816e-11,5.030968364056682e-11
CHCHD4P5,ENSG00000225222,55.40674016239844,8.578556706252144,1.260361980176909,6.806422949260993,1.0005527777073469e-11,5.0319115217499814e-11
PLEKHB2,ENSG00000115762,7534.09240233136,-1.0469609808910825,0.15383699927974034,-6.805651343908933,1.0059306505447164e-11,5.058403570265432e-11
GFRA2,ENSG00000168546,716.0732889968409,-2.814669273013957,0.4136029754680684,-6.8052442558679305,1.0087793407305084e-11,5.072173010586409e-11
AC090950.2,ENSG00000279465,15.445822822493918,5.122010047364451,0.7527636977036621,6.804273456583204,1.0156046616541486e-11,5.105931866413417e-11
ATP5PBP7,ENSG00000261424,19.395015930716262,4.816359491772213,0.7078602996895581,6.804110209153549,1.0167568271546308e-11,5.1111647793943946e-11
LINC01664,ENSG00000235478,42.00376211730338,-1.9181247375417232,0.2819356481933061,-6.803413296024851,1.0216899098303971e-11,5.135400870109639e-11
CCDC125,ENSG00000183323,682.7783939428704,1.1468077317032817,0.16856413009212978,6.80339127355557,1.021846176912793e-11,5.135624197221448e-11
LINC01776,ENSG00000226053,120.81786049265894,9.292793701495727,1.3661709292071273,6.802072495342076,1.0312467731580482e-11,5.1823028091694824e-11
U3,ENSG00000221044,13.29798411733505,3.0574317966538875,0.4495078985672317,6.801730973803113,1.0336950066885784e-11,5.1940374660407275e-11
USP40,ENSG00000085982,2655.872368071691,0.8694023725498078,0.12782595061480723,6.801454386751863,1.0356819226043949e-11,5.203451812682321e-11
APP,ENSG00000142192,46506.86729576869,-1.437328298025145,0.21133079297618432,-6.801319759336364,1.036650397656816e-11,5.2077478296464983e-11
KRT8P4,ENSG00000248231,64.74752446792142,8.804784862593872,1.2946025218025847,6.801149166876504,1.03787887045621e-11,5.2133488963268014e-11
Y_RNA,ENSG00000207034,22.536604914874953,6.455630399812271,0.949203784132756,6.801100572634658,1.0382290688982602e-11,5.2145375776962705e-11
PACS1,ENSG00000175115,2457.0994623911643,-1.208337079205646,0.17767010604356098,-6.801015129182099,1.0388451049712737e-11,5.2166910457377014e-11
SIN3B,ENSG00000127511,3954.4702395088025,-1.1071368409734017,0.1627900719521529,-6.801009592887277,1.0388850332804441e-11,5.2166910457377014e-11
NCAPGP1,ENSG00000250290,19.882828865547292,5.489821216175669,0.8072875956332625,6.800328960671415,1.0438052917033777e-11,5.240824710289833e-11
C1QL2,ENSG00000144119,148.37571236020145,-3.57894943845996,0.5263005341354864,-6.8002010378705515,1.0447325847457715e-11,5.244907075993284e-11
U52111.1,ENSG00000232725,46.72841738977357,2.5238995585965727,0.3711663700295243,6.799914438357683,1.0468130316761423e-11,5.254777134630534e-11
RN7SL280P,ENSG00000244671,17.103968948045445,4.751457164594389,0.6987547673501058,6.799892303580817,1.046973878374859e-11,5.255010106990043e-11
AL391095.3,ENSG00000275401,27.438418199971924,2.734794486265601,0.4021837421166128,6.79986334572582,1.0471843428666432e-11,5.255492044675314e-11
AC026470.2,ENSG00000261267,53.5573980906793,8.529328956934695,1.2543849651304502,6.799610322216899,1.0490250713559927e-11,5.264154770160479e-11
HTD2,ENSG00000255154,13.85156682466976,4.648003796477235,0.6836622696627558,6.7986840911522775,1.0557904171285975e-11,5.297525321783471e-11
UACA,ENSG00000137831,2584.2836485041043,1.7968869397267968,0.26433928615283236,6.7976537497642155,1.0633664259995622e-11,5.334955713790658e-11
ARHGEF3-AS1,ENSG00000240198,58.21102086895717,8.649817250079183,1.2726371681644026,6.7967661690686825,1.0699354068622546e-11,5.3673261763733445e-11
CSRNP2,ENSG00000110925,2641.2527791007396,-0.5681998198496366,0.08360098596044875,-6.796568405526334,1.0714044605509643e-11,5.374108599995722e-11
SNX9-AS1,ENSG00000236324,23.630311236771256,6.526487640433533,0.9602650065915206,6.796548448224131,1.071552819778747e-11,5.374265731439475e-11
MCM8-AS1,ENSG00000278719,14.297738898170868,4.004415463694895,0.5892142810508855,6.796195531026287,1.07417967389721e-11,5.3868521136872106e-11
AC138331.1,ENSG00000258066,26.395315248088462,5.250515914232957,0.7725928966909923,6.795967108577964,1.0758832431234501e-11,5.3948061156881366e-11
PRRT1B,ENSG00000283526,27.396153423465822,5.445247335178176,0.8013021461278597,6.7954982542993285,1.079388242981508e-11,5.411790316186683e-11
SLC1A2-AS1,ENSG00000255004,70.78388726752262,8.9334543699296,1.3146836508414108,6.795136125874918,1.0821030495183206e-11,5.424809403595066e-11
SNN,ENSG00000184602,8110.502801229377,-1.5231495986452723,0.2241678684441527,-6.794682972259857,1.0855096779139533e-11,5.4412935181188346e-11
DUSP16,ENSG00000111266,2764.435415288587,1.3031387005788329,0.19182595724648704,6.7933387080892444,1.0956772474775476e-11,5.491660650667591e-11
C17orf100,ENSG00000256806,193.83588294115614,-1.450572873633785,0.21353005278333803,-6.7932960945110334,1.0960010833937886e-11,5.492441745659214e-11
AC083841.1,ENSG00000253196,2.8917475929035636,-3.6096359762833257,0.5313533967625043,-6.793286724572691,1.096072301500861e-11,5.492441745659214e-11
SLC35F3,ENSG00000183780,335.83277784320484,-2.863434701519824,0.4215618226099295,-6.7924431197114234,1.1025029025896504e-11,5.524062824857538e-11
AC009299.2,ENSG00000235724,19.612960697143667,3.84468649371771,0.5660575198581494,6.792042078481997,1.1055728921769305e-11,5.538236367585559e-11
ZDHHC18,ENSG00000204160,916.2074777421229,-0.804246827203746,0.11841005127668192,-6.792048635503999,1.1055226305882289e-11,5.538236367585559e-11
MISP3,ENSG00000141854,277.9940237193341,-1.8436714586475382,0.2714751950114101,-6.7913072447375855,1.1112198238311667e-11,5.565916833567954e-11
TRIM21,ENSG00000132109,437.2934754178174,1.7767602777243883,0.2616289619666851,6.791145232425126,1.1124686260463234e-11,5.571564159305619e-11
LINC00910,ENSG00000188825,253.77698797338462,1.9573719636843556,0.28823934124299316,6.790786973226672,1.1152349962640531e-11,5.584809843341503e-11
SLED1,ENSG00000249138,51.157857164956425,3.8461181046333492,0.5663925331627103,6.790552275039361,1.1170509174913247e-11,5.593293553823915e-11
PCDHGB6,ENSG00000253305,1117.445841429584,3.1910474383434906,0.46997989569056015,6.789753067319523,1.123256348200795e-11,5.623752155007491e-11
PRR34,ENSG00000182257,140.24422640452192,2.240453509617884,0.33000534720331853,6.789143050574648,1.1280155217324608e-11,5.6469640001609434e-11
PARD3B,ENSG00000116117,1333.575171834764,1.8642836757559371,0.27461652240304296,6.788679936088505,1.1316417913122942e-11,5.664499967173736e-11
AGMO,ENSG00000187546,129.10815370453196,4.290244222627965,0.6320400085074452,6.787931404468088,1.1375270868320255e-11,5.693338567238522e-11
SULT1A3,ENSG00000261052,8.651425405557923,-3.5867323294219684,0.528502509480867,-6.786594699323404,1.1481115363402426e-11,5.745061551735892e-11
CRADD,ENSG00000169372,594.3002601094097,1.2089733461304477,0.17814137764803153,6.786594793934484,1.148110783776924e-11,5.745061551735892e-11
CFL1P3,ENSG00000228056,29.902229169848926,6.859989305338026,1.0108524904991179,6.786340608361999,1.1501343920340364e-11,5.7545567026144023e-11
AP000787.3,ENSG00000282834,57.94206113130272,8.645390572456437,1.2739854348460429,6.7860984403649836,1.1520655763942032e-11,5.762963326100022e-11
RRS1-AS1,ENSG00000246145,39.303888504690335,3.318564586435066,0.48902345960321403,6.786105086098932,1.1520125371955604e-11,5.762963326100022e-11
AC078942.1,ENSG00000225365,24.95838542195154,5.516416050667505,0.8129781739700777,6.785441758822103,1.1573183249044494e-11,5.7886085173659973e-11
CEP112,ENSG00000154240,882.25042581417,1.4153061339367008,0.2085983726782088,6.784837847800481,1.1621696693527271e-11,5.8122406214709845e-11
GPR34,ENSG00000171659,1382.4861121530737,2.9727279012090895,0.438144415119029,6.784812948948578,1.1623701140776006e-11,5.8126100412237286e-11
AC022022.2,ENSG00000270421,36.15774965660769,7.551641568345688,1.1131265762468205,6.784171476534054,1.1675458889026177e-11,5.837856572767543e-11
BOC,ENSG00000144857,2000.1649346301513,2.4322950004604693,0.3585395951555122,6.78389509366599,1.1697828601640507e-11,5.848404868981314e-11
FHL2,ENSG00000115641,625.2053431394847,-1.5918686165994411,0.23468980410342052,-6.782862266559964,1.178179514368657e-11,5.889102152968662e-11
FDFT1,ENSG00000079459,2947.825849122714,-1.2339479687319916,0.18192112681482356,-6.782873382199419,1.1780888331934363e-11,5.889102152968662e-11
RPL7P49,ENSG00000242931,33.942855657871,7.457039018183898,1.0994678448676163,6.782407555613214,1.1818949039718906e-11,5.907030462047582e-11
BTBD9,ENSG00000183826,2640.4803645272586,-0.9573676153991544,0.14116240202606176,-6.782029787382074,1.1849903297530141e-11,5.921856669124841e-11
PRR33,ENSG00000283787,40.74592427389331,2.6042831539695146,0.3840189342084015,6.781652991506424,1.1880856981804066e-11,5.936679363018765e-11
LINC01208,ENSG00000223715,24.441824836445676,3.677758143287106,0.542341675890919,6.781256736808131,1.1913494644643384e-11,5.952340197765954e-11
ZIM2,ENSG00000269699,83.17759007070072,2.685830686530184,0.3960687084972267,6.781224138409789,1.1916183529903972e-11,5.953035942958227e-11
AC012615.4,ENSG00000267141,12.067606333322155,3.5260022950400147,0.5200219679654192,6.78048719525343,1.1977129301327921e-11,5.982832096663542e-11
FAM71D,ENSG00000172717,40.38746924591559,2.623519602666639,0.3869250417844554,6.7804337257864145,1.1981563128986709e-11,5.984395915229483e-11
HK3,ENSG00000160883,320.1892260018555,2.546321026633217,0.37555508938915483,6.78015316148382,1.2004854617229329e-11,5.995377149296226e-11
UBA52P5,ENSG00000243498,14.481301172137215,5.044087731001373,0.7439797665558526,6.779872192428368,1.2028224151566866e-11,6.006394968074185e-11
RPL32P1,ENSG00000224796,25.543253418461557,5.758459573250078,0.8494542774831328,6.779010625871409,1.2100162916844293e-11,6.041661208050524e-11
AC012485.1,ENSG00000225057,28.759051822726942,2.537954068098269,0.3744529053225664,6.77776572707318,1.2204853981327567e-11,6.093271359823257e-11
ECSCR,ENSG00000249751,63.51636773323651,-2.5739359274775135,0.37978291737874964,-6.777387317056656,1.223685223420534e-11,6.108582361636519e-11
AC091144.2,ENSG00000254061,17.5702409972805,5.284985366191768,0.7798884948921053,6.776591013722963,1.2304456074001326e-11,6.141662254067553e-11
AC016999.1,ENSG00000229915,17.462057387777072,5.682426860209686,0.8385567321254199,6.776436992887664,1.2317574153558881e-11,6.147541818341238e-11
AC068051.1,ENSG00000197585,39.159602823842526,7.666549678978669,1.1313644723210954,6.776374781550332,1.2322876626862387e-11,6.148719653808874e-11
TMEM92-AS1,ENSG00000251179,17.63876438098577,4.223222588042894,0.6232272006309625,6.776377192406323,1.2322671100178853e-11,6.148719653808874e-11
SNORA59A,ENSG00000239149,13.689425404676491,2.9231765779454064,0.4313784447741794,6.7763621788651225,1.2323951066757449e-11,6.148719653808874e-11
AC008507.2,ENSG00000267006,30.780117974269174,4.95093508954311,0.7306993375780634,6.775611848716345,1.2388085977203198e-11,6.180046672016817e-11
HSPB3,ENSG00000169271,62.612973133842274,-3.2285674512140914,0.47650189171404184,-6.775560616560193,1.2392476979330263e-11,6.181565667693081e-11
