sample_id,condition,dataset
GTEX-1E1VI-3026-SM-7RHHU,Normal,GTEx
GTEX-1E2YA-3026-SM-7IGO7,Normal,GTEx
GTEX-1EH9U-0011-R10a-SM-CJI2A,Normal,GTEx
GTEX-1EKGG-2926-SM-7EPIH,Normal,GTEx
GTEX-1EMGI-0011-R10a-SM-9OSWY,Normal,GTEx
GTEX-1EMGI-3026-SM-7P8P6,Normal,GTEx
GTEX-1EN7A-3026-SM-7PBYT,Normal,GTEx
GTEX-1EWIQ-3126-SM-7MXTI,Normal,GTEx
GTEX-1EX96-0011-R10b-SM-CE6QR,Normal,GTEx
GTEX-1EX96-3026-SM-7RHH5,Normal,GTEx
GTEX-1F48J-0011-R10a-SM-9QEIB,Normal,GTEx
GTEX-1F48J-2826-SM-7P8R4,Normal,GTEx
GTEX-1F52S-3126-SM-7PC3M,Normal,GTEx
GTEX-1F6I4-0011-R10b-SM-9OSWT,Normal,GTEx
GTEX-1F6I4-3126-SM-7P8SD,Normal,GTEx
GTEX-1F6IF-0011-R10a-SM-9QEIN,Normal,GTEx
GTEX-1F6RS-3126-SM-9MQK7,Normal,GTEx
GTEX-1F75A-3026-SM-9KNU2,Normal,GTEx
GTEX-1F75B-3026-SM-7PBZ7,Normal,GTEx
GTEX-1F75W-0011-R10b-SM-ARU7Z,Normal,GTEx
GTEX-1F7RK-0011-R10b-SM-ARU7Y,Normal,GTEx
GTEX-1F7RK-1826-SM-7RHI4,Normal,GTEx
GTEX-1F88E-2826-SM-7RHHE,Normal,GTEx
GTEX-1GF9V-0011-R10b-SM-CKZNP,Normal,GTEx
GTEX-1GF9V-2926-SM-7PBXO,Normal,GTEx
GTEX-1GF9W-0011-R10a-SM-9OSXH,Normal,GTEx
GTEX-1GF9W-2626-SM-7P8TA,Normal,GTEx
GTEX-1GMR8-0011-R10a-SM-CJI21,Normal,GTEx
GTEX-1GMR8-3026-SM-9KNVF,Normal,GTEx
GTEX-1GMRU-0011-R10b-SM-CJI2L,Normal,GTEx
